_id,date,time,money,item,kind_id,kinds_id,kind,kinds,reason,confidence
21305,2026-07-16,17:50,70,"野生藍莓貝果x1=35,水蠻牛EX維他命Ｂ補給飲料PET590x1=35,",1,3,"Food,Drink",Dinner,餐點+發票時間定餐別,med
21306,2026-07-16,22:01,45,"大 珍珠青x1=45,",1,4,"Food,Drink","Tea,Drink",純飲品,high
21308,2026-07-17,17:58,500,"九五無鉛汽油x15.97=500,",3,67,Traffic,Focus Petrol,汽油≥300→車(Focus),high
21309,2026-07-17,18:05,255,"摘鮮綠元氣牛肉堡x1=120,紅心芭樂咖啡x1=75,c月亮薯條套加60x1=60,",1,3,"Food,Drink",Dinner,餐點+發票時間定餐別,med
21312,2026-07-19,12:14,90,"日月潭紅茶x1=35,青茶3Qx1=55,",1,4,"Food,Drink","Tea,Drink",純飲品,high
21313,2026-07-19,21:15,83,"滋露仙果巧克力風味米果x1=28,77香菜花生捲冰淇淋風味乳加x1=20,*純萃喝咖啡重乳拿鐵275mlx1=35,",1,47,"Food,Drink",Snacks,零食,med
21317,2026-07-21,18:52,65,"水蠻牛EX維他命Ｂ補給飲料PET590x1=35,台灣香蕉重量分享包(2入)x1=30,",10,41,Other,Other Expense,無法辨識，待手機歸類,low
21318,2026-07-21,22:34,500,"九五無鉛汽油x15.97=500,",3,67,Traffic,Focus Petrol,汽油≥300→車(Focus),high
21319,2026-07-21,22:39,30,"大 四季春青茶x1=30,",1,4,"Food,Drink","Tea,Drink",純飲品,high
21314,2026-07-21,00:15,110,"(E)瑞麟美而美早餐店奶茶x1=38,可口可樂迷你罐CAN200x1=16,Pocky百奇藍莓果粒優格棒x1=59,可樂",10,41,Other,Other Expense,含飲料但品項混合，待手機歸類,low
21315,2026-07-21,00:34,53,"iseLect經典莫卡咖啡375mlx2=60,89折x1=0,８９折*2AMA*x1=-7,",1,4,"Food,Drink","Tea,Drink",純飲品,high
21327,2026-07-23,17:51,111,"星級饗宴-麻油雞飯糰x1=49,每朝健康無糖紅茶PET650x2=78,79折x1=0,７９折*2AM9*x1=-16,",1,3,"Food,Drink",Dinner,餐點+發票時間定餐別,med
21328,2026-07-23,11:53,45,"大 珍珠青x1=45,",1,4,"Food,Drink","Tea,Drink",純飲品,high
21329,2026-07-23,14:06,56,"純萃喝重乳拿鐵x1=35,純萃喝重乳拿鐵x1=35,飲冰促x1=-14,",1,4,"Food,Drink","Tea,Drink",純飲品,high
21331,2026-07-24,19:20,69,"日式蕎麥沾麵x1=69,",1,3,"Food,Drink",Dinner,餐點+發票時間定餐別,med
21332,2026-07-24,19:13,35,"茉翠香綠x1=35,",10,41,Other,Other Expense,無法辨識，待手機歸類,low
21337,2026-07-25,13:41,193,"餐-嫩煎雞腿x1=83,冰焦糖奶茶x1=68,配-經典中薯x1=32,D小薯x1=10,",1,2,"Food,Drink",Lunch,餐點+發票時間定餐別,med
21338,2026-07-25,21:29,60,"大 四季春青茶x2=60,",1,4,"Food,Drink","Tea,Drink",純飲品,high
21334,2026-07-25,12:11,80,"金萱雙Qx2=80,",10,41,Other,Other Expense,無法辨識，待手機歸類,low
